node,region,province,municipality,latitude,longitude,att_name,vendor,period
2102311HDE10FC000377,CENTRO,DISTRITO_FEDERAL,COYOACAN,19.3389,-99.181396,DIFCHT9067,Huawei,last
ADIFIZC6381,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6381,Ericsson,last
ADIFIZC6384,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6384,Ericsson,last
ADIFIZC6386,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6386,Ericsson,last
ADIFIZC6387,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6387,Ericsson,last
ADIFIZC6390,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6390,Ericsson,last
ADIFIZC6391,CENTRO,DISTRITO_FEDERAL,IZTACALCO,19.40513,-99.095661,DIFIZC6391,Ericsson,last
AGUAGU0002,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.885,-102.27031,AGUAGU0002,Huawei,last
AGUAGU0003,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.894899,-102.311997,AGUAGU0003,Huawei,last
AGUAGU0004,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.868056,-102.285556,AGUAGU0004,Nokia,last
AGUAGU0005,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.872723,-102.328111,AGUAGU0005,Huawei,last
AGUAGU0006,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8435,-102.292944,AGUAGU0006,Nokia,last
AGUAGU0007,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.862144,-102.305,AGUAGU0007,Huawei,last
AGUAGU0008,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.926235,-102.318056,AGUAGU0008,Huawei,last
AGUAGU0009,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8846,-102.292282,AGUAGU0009,Huawei,initial
AGUAGU0010,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.823709,-102.288002,AGUAGU0010,Huawei,initial
AGUAGU0011,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9103,-102.288101,AGUAGU0011,Huawei,last
AGUAGU0012,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.700806,-102.310997,AGUAGU0012,Huawei,last
AGUAGU0013,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.87292,-102.271142,AGUAGU0013,Huawei,last
AGUAGU0014,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.86175,-102.226472,AGUAGU0014,Huawei,last
AGUAGU0015,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.924808,-102.292028,AGUAGU0015,Nokia,last
AGUAGU0016,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.875556,-102.306667,AGUAGU0016,Nokia,last
AGUAGU0018,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.7313,-102.276338,AGUAGU0018,Huawei,last
AGUAGU0019,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.882994,-102.249389,AGUAGU0019,Nokia,last
AGUAGU0020,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.915232,-102.305,AGUAGU0020,Huawei,last
AGUAGU0021,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.875099,-102.296135,AGUAGU0021,Huawei,last
AGUAGU0022,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.921022,-102.262033,AGUAGU0022,Huawei,last
AGUAGU0024,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.90072,-102.254358,AGUAGU0024,Nokia,last
AGUAGU0025,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9044,-102.28505,AGUAGU0025,Huawei,last
AGUAGU0026,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.906712,-102.2561,AGUAGU0026,Nokia,last
AGUAGU0027,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.885389,-102.250889,AGUAGU0027,Nokia,last
AGUAGU0028,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9395,-102.289056,AGUAGU0028,Nokia,last
AGUAGU0029,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8605,-102.280014,AGUAGU0029,Huawei,last
AGUAGU0030,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.871,-102.319229,AGUAGU0030,Huawei,last
AGUAGU0031,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.890917,-102.283997,AGUAGU0031,Huawei,last
AGUAGU0033,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8911,-102.296,AGUAGU0033,Nokia,last
AGUAGU0034,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.870501,-102.255083,AGUAGU0034,Huawei,last
AGUAGU0035,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.865299,-102.294998,AGUAGU0035,Huawei,last
AGUAGU0037,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8598,-102.221001,AGUAGU0037,Huawei,last
AGUAGU0038,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8127,-102.286003,AGUAGU0038,Huawei,last
AGUAGU0039,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8512,-102.353401,AGUAGU0039,Huawei,last
AGUAGU0040,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.853425,-102.318001,AGUAGU0040,Huawei,last
AGUAGU0041,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.8829,-102.365161,AGUAGU0041,Huawei,last
AGUAGU0042,PACIFIC,AGUASCALIENTES,AGUASCALIENTES,21.9326,-102.254997,AGUAGU0042,Huawei,last
